Pitcher,PitcherTeam,Overall_StuffPlus,Overall_WhiffPlus,Overall_CalledStrikePlus,Overall_wOBACONPlus,Overall_PitchingPlus,Overall_PitchingWhiffPlus,Overall_PitchingCalledStrikePlus,Overall_PitchingwOBACONPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Hunter Dietz,ARK_RAZ,138.0,132.0,107.2,76.4,120.9,127.2,100.0,84.7,27,3,92.0,6.4
Kaidan Wilson,TEX_AGG,137.2,138.2,92.0,86.2,120.4,133.3,93.5,89.0,363,5,89.7,5.6
Will Hummel,PIT_PAN,134.2,145.1,75.2,76.1,96.0,141.9,38.2,74.8,15,5,90.1,6.0
Dakota Stone,UCF_KNI,133.7,126.3,110.8,76.0,131.5,132.7,132.8,82.4,18,2,92.2,5.4
Santiago Garcia,ORE_DUC,132.2,131.6,94.6,87.9,118.6,121.7,102.3,76.5,412,3,88.4,6.0
Mason Estrada,MAS_INS,131.2,136.2,104.5,90.7,106.5,122.4,88.1,84.0,42,2,90.7,6.2
Porter Buursema,GIT_YEL,130.9,138.2,97.3,95.3,110.6,118.9,99.5,94.3,133,6,86.8,5.0
Gavin Black,MSU_BDG,130.8,143.1,88.9,91.2,113.6,122.6,100.5,69.9,27,4,88.7,6.0
Kade Anderson,LSU_TIG,130.5,139.3,85.6,91.7,131.0,131.6,113.2,97.8,1397,8,87.9,5.9
Joe Ariola,WAK_DEA,130.3,132.5,90.7,93.7,116.5,119.4,103.5,90.7,450,8,88.0,5.6
Jacob Dudan,NOR_WOL,130.2,140.0,91.0,96.3,121.0,135.9,99.2,98.5,459,5,89.1,5.2
Jacob Mayers,LSU_TIG,129.9,138.0,112.0,63.4,103.9,118.9,83.7,60.0,231,5,95.2,6.0
Carson Laws,TEX_BOB,129.8,131.5,94.2,79.8,113.7,125.1,89.2,81.2,710,7,92.3,6.0
Brendan Walker,STE_HAT,128.9,131.5,82.2,87.0,111.5,123.1,83.4,94.0,114,4,88.5,6.1
